Contract #,Business Size,Schedule,Site,Begin Date,End Date,SIN,Vendor Name,Labor Category,education Level,Minimum Years Experience,Current Year Labor Price,Next Year Labor Price,Second Year Labor Price
GS-00F-293GA,small business,Consolidated,Both,7/27/17,7/26/22,874 503,"Limco Logistics, Inc.",Documentation** Preparation Clerk,Bachelors,5,30.82,31.44,32.06
GS-02F-033GA,small business,736TAPS,,5/16/17,5/15/22,736-5,SAPTA GLOBAL INC.,AP/AR Analyst,Bachelors,5,31.85,32.8,33.79
GS-07F-058CA,small business,AIMS,Both,1/1/15,12/31/24,"541-4B, 541-4BRC, 541-4F, 541-4FRC","WINROCK PRODUCTIONS, LLC",Proofreader/Copy Editor,Bachelors,5,32.12,32.76,33.42
47QSHA18D001B,small business,03FAC,Both,4/20/18,4/19/23,811-002,"South Dade Air Conditioning and Refrigeration, Inc.","First-Line Supervisors of Housekeeping and Janitorial Workers, Level III",Bachelors,7,32.53,,
47QRAA18D00CY,small business,Consolidated,Both,7/28/18,7/27/23,"874 501, 874 503, 874 504, 874 507, 874 597","PRIMETECH INTERNATIONAL, INC.",QA Specialist Sr,Bachelors,5,33.5,33.5,33.5
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Space Planner 2,Bachelors,5,34.1,,
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.",Technical Instructor,Bachelors,5,34.31,,
GS-00F-330GA,other than small business,Consolidated,Both,8/16/17,8/15/22,871-1,"CHEROKEE NATION TECHNOLOGY SOLUTIONS, L.L.C.",Technician IV,Bachelors,6,34.46,35.5,36.56
47QRAA19D00C5,small business,Consolidated,Both,9/6/19,9/5/24,"520-12, 520-21, 520-22, 874-1, 874-7",G2S CORPORATION,Administrative Assistant - Senior,Bachelors,5,34.51,34.51,34.51
GS-00F-184GA,small business,Consolidated,Both,5/11/17,5/10/22,541-4B,"INALAB CONSULTING, INC",Production Assistant I,Bachelors,5,34.58,35.45,36.33
GS-10F-0196P,small business,Environmental,Contractor,2/13/04,2/12/24,899-1/RC; 899-7/RC,"Panamerican Consultants, Inc.",Editor,Bachelors,6,34.77,34.77,
47QRAA19D009E,small business,Consolidated,Both,6/19/19,6/18/24,"871-6, 874-7, 520-21",PATRONA CORPORATION,Administrative Assistant 4,Bachelors,5,35.75,36.64,37.56
GS-00F-293GA,small business,Consolidated,Both,7/27/17,7/26/22,874 503,"Limco Logistics, Inc.",Administrative** Assistant,Bachelors,5,35.96,36.67,37.41
GS-07F-0259V,small business,AIMS,Contractor,4/22/09,4/21/24,"541-1
541-2
541-4A",Blue Line Media Llc,Production Specialist,Bachelors,5,36,36,36
GS10F0196P,small business,MAS Consolidated,Contractor,2/13/19,2/12/24,541620/RC,"Panamerican Consultants, Inc.",Editor,Bachelors,6,36.03,36.68,37.34
47QRAA19D0023,small business,Consolidated,Both,12/14/18,12/13/23,"874-1, C132-51",ENTERPRISE SOLUTIONS & MANAGEMENT,GIS Specialist,Bachelors,6,36.29,37.05,37.83
GS-03F-075AA,small business,36_Office_Imaging_Document,BOTH,6/5/18,6/5/23,"51 504, 51 600","Dennis Millican & Associates, Inc.",Records Clerk 2,Bachelors,6,36.39,,
GS-02F-033GA,small business,736TAPS,,5/16/17,5/15/22,736-5,SAPTA GLOBAL INC.,Financial Analyst,Bachelors,6,36.86,37.97,39.11
47QSHA18D001B,small business,03FAC,Both,4/20/18,4/19/23,811-002,"South Dade Air Conditioning and Refrigeration, Inc.","First-Line Supervisors of Landscaping, Lawn Service, and Grounds keeping Workers, Level II",Bachelors,5,37.04,,
47QSHA18D001B,small business,03FAC,Both,4/20/18,4/19/23,811-002,"South Dade Air Conditioning and Refrigeration, Inc.","First-Line Supervisors of Landscaping, Lawn Service, and Grounds keeping Workers, Level III",Bachelors,7,37.12,,
GS-23F-0096V,small business,FABS,Both,9/15/09,9/14/24,"520-13, 520-12, 520-11, 520-21",Alexton Incorporated,Technical Writer,Bachelors,5,37.24,,
GS-07F-0532T,small business,736TAPS,,8/9/12,8/8/22,736-5,"Creative Options of District of Columbia, INC.",Proofreader,Bachelors,5,37.4,,
GS-00F-267DA,small business,Consolidated,Both,8/29/16,8/28/21,"541-4B,  541-4E, 541-4F","METRO PRODUCTIONS GOVERNMENT SERVICES, LLC",Photographer III,Bachelors,5,37.45,,
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,"871 2, 874 1, 874 4, 874 7",B3H Corporation,Management Analyst I,Bachelors,5,37.7,38.42,39.15
47QSHA18D001B,small business,03FAC,Both,4/20/18,4/19/23,811-002,"South Dade Air Conditioning and Refrigeration, Inc.","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand, Level II",Bachelors,5,37.82,,
GS00F355CA,other than small business,MAS Consolidated,Both,9/26/20,9/25/25,541611,PEERLESS TECHNOLOGIES CORPORATION,Administrative Assistant II,Bachelors,5,37.84,37.84,37.84
47QREA18D000T,small business,736TAPS,,6/7/18,6/6/23,736-5,"Synergy America, Inc.",Project Manager I,Bachelors,7,38.07,,
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541614; 541614SVC; 561210FS; and 611430,"TOLLIVER GROUP, INC., THE","SPECIALIST, PROVISIONING  **",Bachelors,5,38.08,38.9,39.74
GS-10F-0397S,small business,Language Services,Both,8/31/06,8/30/21,382-4,Valbin Corporation,Armorer,Bachelors,5,38.12,39.11,40.12
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Material Coordinator 2,Bachelors,5,38.16,,
GS-23F-0320N,small business,PES,Customer,8/26/03,8/25/23,871-1; 2; 3; 4; 5; & 6; 874-1; 6; 7; 501; C132-51,"Quantitech, Inc.",Logistics Specialist IIII,Bachelors,6,38.64,39.45,40.28
47QSHA18D001B,small business,03FAC,Both,4/20/18,4/19/23,811-002,"South Dade Air Conditioning and Refrigeration, Inc.","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand, Level III",Bachelors,7,38.73,,
47QRAA18D000B,small business,Consolidated,Customer,10/20/17,10/19/22,"874 1, 874 7","OPERATIONAL INTELLIGENCE, LLC",Administrative Support - Level II**,Bachelors,5,38.77,39.74,40.74
47QREA18D000T,small business,736TAPS,,6/7/18,6/6/23,736-5,"Synergy America, Inc.",Business Consultant II,Bachelors,5,38.91,,
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.","Air Traffic Controller Specialist, Station",Bachelors,5,39.65,,
GS-21F-0171X,small business,03FAC,,8/23/11,8/22/21,811-005,"MIRADOR ENTERPRISES, INC.",Facilities Manager,Bachelors,5,39.68,,
GS-21F-0171X,small business,03FAC,,8/23/11,8/22/21,811-005,"MIRADOR ENTERPRISES, INC.",Safety Manager,Bachelors,6,39.68,,
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,874 4,B3H Corporation,Training Facilitator I,Bachelors,5,39.74,40.5,41.27
GS-10F-0033Y,small business,Logistics,Both,10/31/11,10/30/21,SINS: 874-501; 874-503; 874-504; 874-507,"Alutiiq Diversified Services, LLC",Equipment Specialist,Bachelors,5,39.8,,
GS-07F-0532T,small business,736TAPS,,8/9/12,8/8/22,736-5,"Creative Options of District of Columbia, INC.",Editor,Bachelors,5,39.9,,
GS-07F-0229N,small business,736TAPS,,1/22/18,1/21/23,736-5,Corporate Temps INC.,"Accountant, Staff",Bachelors,5,39.93,,
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Quality Auditor 2,Bachelors,5,40.03,,
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Space Planner 3,Bachelors,7,40.25,,
GS-02F-039GA,small business,736TAPS,,6/7/17,6/6/22,736-5,"CAREERS IN NONPROFITS, INC.",Project Manager II,Bachelors,5,40.29,,
47QTCA20D00CM,small business,MAS Consolidated,Both,7/20/20,7/19/25,54151S,Vision IT Consultants,Network Administrator (Associate),Bachelors,5,40.43,41.24,42.06
47QSWA18D008Y,small business,Consolidated,Both,8/24/18,8/23/23,520-11,"HCT Certified Public Accountants & Consultants, LLC",Strategic Executive Assistant,Bachelors,5,40.48,41.5,42.53
GS-07F-0229N,small business,736TAPS,,1/22/18,1/21/23,736-5,Corporate Temps INC.,Project Manager I,Bachelors,7,40.69,,
GS-10F-0140V,other than small business,MOBIS,Both,4/13/09,4/12/24,"874-1, 
874-7","Partnership For Public Service, Inc.",Consultant II,Bachelors,6,40.93,41.62,42.33
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.",Technical Instructor / Course Developer,Bachelors,5,40.96,,
GS-23F-0320N,small business,PES,Customer,8/26/03,8/25/23,871-1; 2; 3; 4; 5; & 6; 874-1; 6; 7; 501; C132-51,"Quantitech, Inc.",IT Administrator III,Bachelors,6,40.98,41.84,42.72
GS-29F-0003Y,small business,71_IIK,Customer,2/10/17,2/9/22,541614CF and 541614OR,"Elocen Group, LLC",Purchasing Specialist (DC),Bachelors,5,41.01,,
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.","Weather Observer, Senior",Bachelors,7,41.03,,
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.",Archaeological Technician III,Bachelors,7,41.03,,
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.",Mathematical Technician,Bachelors,5,41.07,,
GS-23F-0088V,small business,FABS,Both,8/20/09,8/19/24,871-7,"Ata Services, Inc.",Tenant Agreement Specialist,Bachelors,5,41.09,41.09,41.09
GS-00F-267DA,small business,Consolidated,Both,8/29/16,8/28/21,541-4B,"METRO PRODUCTIONS GOVERNMENT SERVICES, LLC",Media Support Specialist / Media Technician III,Bachelors,5,41.21,,
GS-00F-393GA,small business,Consolidated,Both,9/13/17,9/12/22,"871-1, 871-2, 871-3, 871-4, 871-5, 871-6, 871-7, 874-1, 874-7, 874-501, 874-503, 874-504, 874-507","NAVIGATOR INTERNATIONAL, LLC ",Engineer Specialist Level I,Bachelors,5,41.24,42.07,42.91
GS-10F-0262P,other than small business,Logistics,Both,4/1/04,3/31/24,"874-501, 504, 507/RC","Ranger Land System, Inc.",Admin Specialist 4,Bachelors,5,41.42,42.45,43.51
GS-10F-0140V,other than small business,MOBIS,Both,4/13/09,4/12/24,"874-1, 
874-7","Partnership For Public Service, Inc.",Trainer II,Bachelors,6,41.62,42.33,43.05
GS-10F-0008V,other than small business,Logistics,Customer,10/10/08,10/9/23,"874-501, 874-504, 874-505, 874-507","Engineering Solutions & Products, Inc.","Program Specialist, Journeyman",Bachelors,5,41.67,42.51,43.36
GS-07F-0252Y,small business,736TAPS,,2/22/17,2/21/22,736-5,"Unified Business Technologies, Inc.",Engineering Technician III,Bachelors,5,41.7,42.87,44.07
GS-10F-0196P,small business,Environmental,Contractor,2/13/04,2/12/24,899-1/RC; 899-7/RC,"Panamerican Consultants, Inc.",Laboratory Director,Bachelors,5,41.76,41.76,
GS-25F-0008P,other than small business,36_Office_Imaging_Document,Blank,10/1/03,9/30/23,"51 501, 51 504, 51 505, 51 506, 51 509, 733 1","ZIMMERMAN ASSOCIATES, INC.",Technical Information Specialist III,Bachelors,5,42.09,,
47QRAA18D00CY,small business,Consolidated,Both,7/28/18,7/27/23,"874 501, 874 503, 874 504, 874 507, 874 597","PRIMETECH INTERNATIONAL, INC.",Project Manager,Bachelors,5,42.13,42.13,42.13
GS-25F-0008P,other than small business,36_Office_Imaging_Document,Blank,10/1/03,9/30/23,"51 501, 51 504, 51 505, 51 506, 51 509, 733 1","ZIMMERMAN ASSOCIATES, INC.",Training Specialist I,Bachelors,5,42.18,,
GS-02F-033GA,small business,736TAPS,,5/16/17,5/15/22,736-5,SAPTA GLOBAL INC.,Credit Analyst,Bachelors,5,42.19,43.46,44.76
GS00F355CA,other than small business,MAS Consolidated,Both,9/26/20,9/25/25,541611,PEERLESS TECHNOLOGIES CORPORATION,Administrative Assistant II,Bachelors,5,42.27,42.27,42.27
GS-21F-046GA,small business,03FAC,,6/26/17,6/25/22,811-002,ALUTIIQ COMMERCIAL ENTERPRISES LLC,Finance Manager,Bachelors,5,42.35,,
GS-07F-0532T,small business,736TAPS,,8/9/12,8/8/22,736-5,"Creative Options of District of Columbia, INC.",Desktop Publisher,Bachelors,5,42.39,,
47QRAA18D000B,small business,Consolidated,Contractor,10/20/17,10/19/22,"874 1, 874 7","OPERATIONAL INTELLIGENCE, LLC",Administrative Support - Level II**,Bachelors,5,42.39,43.45,44.53
47QRAA18D00CG,small business,Consolidated,Customer,7/20/18,7/19/23,"874 1, 874 7",GTANGIBLE,Progam Manager,Bachelors,6,42.54,43.39,44.26
47QRAA18D00CG,small business,Consolidated,Customer,7/20/18,7/19/23,874 4,GTANGIBLE,Training Program Manager,Bachelors,6,42.54,43.39,44.26
GS-07F-0229N,small business,736TAPS,,1/22/18,1/21/23,736-5,Corporate Temps INC.,Business Consultant II,Bachelors,5,42.91,,
47QREA18D000T,small business,736TAPS,,6/7/18,6/6/23,736-5,"Synergy America, Inc.",Project Administrator II,Bachelors,7,42.97,,
GS-00F-0082M,small business,Consolidated,,7/29/02,7/28/22,"541-1, 541-2, 541-3, 541-4A, 541-4C, 541-4D, 541-5",Nova Research Company,Market Research Interviewer II,Bachelors,5,43.01,43.87,44.75
GS-10F-0196P,small business,Environmental,Customer,2/13/04,2/12/24,899-1/RC; 899-7/RC,"Panamerican Consultants, Inc.",Field Technician II*,Bachelors,5,43.1,43.1,
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.","Air Traffic Controller Specialist, Terminal",Bachelors,5,43.21,,
GS10F0196P,small business,MAS Consolidated,Contractor,2/13/19,2/12/24,541620/RC,"Panamerican Consultants, Inc.",Laboratory Director,Bachelors,5,43.28,44.06,44.85
47QRAA18D00F7,other than small business,Consolidated,Customer,9/6/18,9/5/23,"899-1, 3, 8","Versar, Inc.",Professional III,Bachelors,5,43.28,44.14,45.03
GS-07F-0388N,small business,736TAPS,,3/13/12,3/12/23,736-5,"Contemporary Staffing, INC.",Buyer III,Bachelors,5,43.29,,
GS-10F-0033Y,small business,Logistics,Both,10/31/11,10/30/21,SINS: 874-501; 874-503; 874-504; 874-507,"Alutiiq Diversified Services, LLC",Computer Specialist I,Bachelors,6,43.39,,
47QREA18D000T,small business,736TAPS,,6/7/18,6/6/23,736-5,"Synergy America, Inc.",IT Project Manager II,Bachelors,6,43.52,,
GS-00F-242GA,small business,Consolidated,Both,6/25/17,6/24/22,"874-501, 874-503, 874-504, 874-507","Alutiiq Commercial Enterprises, LLC",Finance Manager,Bachelors,5,43.62,44.49,45.38
GS-00F-214GA,small business,Consolidated,Both,6/9/17,6/8/22,874-1,KIMETRICA LLC,Support Staff,Bachelors,5,43.77,45.08,46.43
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541614; 541614SVC; 561210FS; and 611430,"TOLLIVER GROUP, INC., THE","SPECIALIST, PROVISIONING  **",Bachelors,5,43.8,44.74,45.7
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,"871 2, 874 1, 874 4, 874 7",B3H Corporation,Project Manager I,Bachelors,5,43.82,44.65,45.5
47QRAA18D00CY,small business,Consolidated,Both,7/28/18,7/27/23,"100 03, 871 2, 871 5, 874 1, 874 501, 874 505","PRIMETECH INTERNATIONAL, INC.",Senior Logistics Analyst,Bachelors,5,43.92,43.92,43.92
47QTCA20D00BX,small business,MAS Consolidated,Contractor,6/30/20,6/29/25,54151S,HAWK ASSOCIATES LLC,Help Desk Technical Support IV,Bachelors,6,43.96,45.06,46.19
47QREA18D000T,small business,736TAPS,,6/7/18,6/6/23,736-5,"Synergy America, Inc.",Management Analyst II,Bachelors,6,44.04,,
47QSMA20D08P4,small business,MAS Consolidated,Both,2/10/20,2/9/25,33721P,Wholesale Office Furniture,Project Management (Furniture Related),Bachelors,5,44.13,44.13,44.13
GS-25F-0008P,other than small business,36_Office_Imaging_Document,Blank,10/1/03,9/30/23,"51 501, 51 504, 51 505, 51 506, 51 509, 733 1","ZIMMERMAN ASSOCIATES, INC.",Technical Writer II,Bachelors,7,44.2,,
GS10F083LA,small business,MAS Consolidated,Contractor,2/8/21,2/7/26,"541850, 561920","Montage Marketing Group, LLC",Warehouse,Bachelors,5,44.21,45.32,46.45
GS-07F-058CA,small business,AIMS,Both,1/1/15,12/31/24,"541-4F, 541-4FRC","WINROCK PRODUCTIONS, LLC",Graphic Designer* (Print),Bachelors,5,44.24,45.13,46.03
GS10F0196P,small business,MAS Consolidated,Contractor,2/13/19,2/12/24,541620/RC,"Panamerican Consultants, Inc.",Field Technician II**,Bachelors,5,44.67,45.47,46.29
47QSEA18D002L,small business,736TAPS,,5/4/18,5/3/23,736-5,"Crystal L Dunson and Associates, Incorporated",Intructor,Bachelors,5,44.72,,
47QRAA18D00F9,small business,Consolidated,Customer,9/7/18,9/6/23,"874-1, 874-7","MISSIONSIDE, LLC",WFO Site Supervisor,Bachelors,5,44.76,45.88,47.03
GS-07F-0532T,small business,736TAPS,,8/9/12,8/8/22,736-5,"Creative Options of District of Columbia, INC.",Senior Editor,Bachelors,5,44.89,,
GS-07F-0532T,small business,736TAPS,,8/9/12,8/8/22,736-5,"Creative Options of District of Columbia, INC.",Graphic Illustrator,Bachelors,5,44.89,,
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.",Drafter / CAD Operator IV,Bachelors,5,44.95,,
GS-00F-0001R,small business,Consolidated,Both,10/1/04,3/31/23,"899 1
899 8","Gem Technology International, Corporation",Environmental Analyst II,Bachelors,5,45.01,45.01,45.01
47QRAA18D00CY,small business,Consolidated,Both,7/28/18,7/27/23,"874 7, 874 501, 874 503, 874 507","PRIMETECH INTERNATIONAL, INC.",Project Supervisor,Bachelors,6,45.03,45.03,45.03
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541614; 541614SVC; 561210FS; and 611430,"TOLLIVER GROUP, INC., THE","ASSISTANT, LOGISTICS",Bachelors,5,45.16,46.13,47.12
GS-23F-0119R,small business,AIMS,Both,2/28/05,2/27/25,541-3,"Red, Inc. (D.B.A.) Red, Inc. Communications",Web Designer,Bachelors,5,45.21,45.21,45.21
GS-00F-284DA,small business,Consolidated,Both,9/15/16,9/14/21,"520-12, 520-13, 874-7.",EXECUTIVE REVIEW INC,Budget Analyst,Bachelors,5,45.34,45.34,
GS-00F-242GA,small business,Consolidated,Both,6/25/17,6/24/22,"874-501, 874-503, 874-504, 874-507","Alutiiq Commercial Enterprises, LLC",* Sr. Computer Sys Analyst,Bachelors,5,45.34,46.24,47.17
47QTCA20D00BX,small business,MAS Consolidated,Contractor,6/30/20,6/29/25,54151S,HAWK ASSOCIATES LLC,Information/Computer/Telecommunications Specialist - Intermediate,Bachelors,5,45.36,46.49,47.66
GS-00F-0059M,other than small business,Consolidated,Customer,4/23/02,4/22/22,899-3,Jardon & Howard Technologies I,Training Specialist/Instructor Level II,Bachelors,7,45.49,46.4,
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541611; 611430; and 611512,"TOLLIVER GROUP, INC., THE","ANALYST, BUDGET, LEVEL 2",Masters,5,45.54,46.52,47.52
47QTCA19D00K8,small business,IT Schedule 70,Both,8/30/19,8/29/24,132-51,"F2 Systems, LLC",SME I,Bachelors,7,45.61,46.57,47.55
GS-10F-0017T,small business,MOBIS,Contractor,10/25/06,10/24/21,874-1,Asian Technology Information Program (d.b.a.) Atip,Editor II,Bachelors,5,45.67,46.59,
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Logistics Coordinator 2,Bachelors,5,45.81,,
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,"871 2, 874 1, 874 7",B3H Corporation,Systems Analyst I,Bachelors,5,45.85,46.73,47.61
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,"871 2, 874 1, 874 7",B3H Corporation,Modeling and Simulation Specialist I,Bachelors,5,45.85,46.73,47.61
GS-10F-0008V,other than small business,Logistics,Contractor,10/10/08,10/9/23,"874-501, 874-504, 874-505, 874-507","Engineering Solutions & Products, Inc.","Program Specialist, Journeyman",Bachelors,5,45.94,46.86,47.8
47QRAA18D00CY,small business,Consolidated,Both,7/28/18,7/27/23,"100 03, 871 2, 871 5, 874 1, 874 501, 874 505","PRIMETECH INTERNATIONAL, INC.",Lead Senior Logistics Analyst,Bachelors,5,45.95,45.95,45.95
GS00F283CA,small business,MAS Consolidated,Both,9/10/20,9/9/25,"541614SVC, 541614, 561210FS",ASR INTERNATIONAL CORP.,Planner,Bachelors,5,46.03,46.89,47.76
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Micrographics Specialist 2,Bachelors,5,46.07,,
GS-02F-033GA,small business,736TAPS,,5/16/17,5/15/22,736-5,SAPTA GLOBAL INC.,Business Analyst,Bachelors,5,46.23,47.62,49.05
GS-00F-267DA,small business,Consolidated,Both,8/29/16,8/28/21,"541-2, 541-4B, 541-4F","METRO PRODUCTIONS GOVERNMENT SERVICES, LLC",Junior Researcher,Bachelors,5,46.29,,
GS-00F-267DA,small business,Consolidated,Both,8/29/16,8/28/21,"541-3, 541-4B, 541-4F","METRO PRODUCTIONS GOVERNMENT SERVICES, LLC",Illustrator III,Bachelors,5,46.33,,
47QTCA19D00DW,small business,IT Schedule 70,Contractor,6/18/19,6/18/24,132-51,"SEMPER VALENS SOLUTIONS, INC.",IT Training Specialist II,Bachelors,5,46.45,47.41,48.39
47QTCA21D000U,small business,MAS Consolidated,Both,10/23/20,10/22/25,54151S,"IntellecTechs, Inc.",Information Technology Analyst,Bachelors,5,46.48,47.22,47.98
47QTCA21D000U,small business,MAS Consolidated,Both,10/23/20,10/22/25,54151S,"IntellecTechs, Inc.",Information Technology Support Specialist,Bachelors,5,46.48,47.22,47.98
GS-10F-0262P,other than small business,Logistics,Both,4/1/04,3/31/24,"874-501, 504, 507/RC","Ranger Land System, Inc.",Technical Specialist 2,Bachelors,5,46.69,47.86,49.05
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Publications Specialist 2,Bachelors,5,46.84,,
47QRAA18D0002,small business,Consolidated,Both,10/10/17,10/9/22,"871-1, 871-3, 871-4","G2 OPS, INC. ",Administrative Support III**,Bachelors,5,46.85,47.79,48.75
GS-07F-9674S,small business,736TAPS,,9/1/16,8/31/21,736-5,"Career Training Concepts, INC.",Program Coordinator II,Bachelors,5,46.86,47.8,48.75
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,"871 2, 874 1, 874 4, 874 7",B3H Corporation,Consultant I,Bachelors,5,46.87,47.76,48.67
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,"871 2, 874 1, 874 7",B3H Corporation,Systems Engineer I,Bachelors,5,46.87,47.76,48.67
GS-07F-058CA,small business,AIMS,Both,1/1/15,12/31/24,"541-4B, 541-4BRC","WINROCK PRODUCTIONS, LLC",Casting Director,Bachelors,5,46.93,47.87,48.83
GS-21F-046GA,small business,03FAC,,6/26/17,6/25/22,811-002,ALUTIIQ COMMERCIAL ENTERPRISES LLC,Financial Specialist,Bachelors,5,47.02,,
GS-07F-0229N,small business,736TAPS,,1/22/18,1/21/23,736-5,Corporate Temps INC.,Project Administrator II,Bachelors,7,47.38,,
47QTCA19D00DW,small business,IT Schedule 70,Contractor,6/18/19,6/18/24,132-51,"SEMPER VALENS SOLUTIONS, INC.",IT Instructor II,Bachelors,5,47.75,48.74,49.75
GS-00F-266DA,small business,Consolidated,Both,8/29/16,8/28/21,899-1,BUELL ENVIRONMENTAL LLC,Technical Editor,Bachelors,5,47.86,47.86,
47QRAA19D0009,other than small business,Consolidated,Both,10/11/18,10/10/23,"874-1, 874-7","SALMON GROUP, INC.",BUDGET ANALYST 2,Bachelors,5,47.87,49.06,50.29
GS-35F-547JA,small business,IT Schedule 70,Both,7/25/19,7/24/24,132-51,CHIEF TECHNOLOGIES LLC,Helpdesk Specialist,Bachelors,6,47.96,49.16,50.39
GS-23F-0119R,small business,AIMS,Both,2/28/05,2/27/25,541-4F,"Red, Inc. (D.B.A.) Red, Inc. Communications",Illustrator,Bachelors,6,48.04,48.04,48.04
GS-23F-0119R,small business,AIMS,Both,2/28/05,2/27/25,541-4F,"Red, Inc. (D.B.A.) Red, Inc. Communications",Sr. Graphic Designer,Bachelors,5,48.04,48.04,48.04
47QRAA18D004D,small business,Consolidated,Both,1/31/18,1/30/23,874.1 & 874.7,KEITH STALDER AND ASSOCIATES LLC ,Sr Logistics Analyst,Bachelors,5,48.14,49.11,50.09
GS-23F-0320N,small business,PES,Contractor,8/26/03,8/25/23,871-1; 2; 3; 4; 5; & 6; 874-1; 6; 7; 501; C132-51,"Quantitech, Inc.",Logistics Specialist IIII,Bachelors,6,48.27,49.28,50.32
47QRAA18D000W,small business,Consolidated,Both,10/31/17,10/30/22,"541-4B, 541-4E","SLICKFORCE, INC",Script Supervisor,Bachelors,5,48.3,49.37,50.45
47QRAA19D00CH,small business,Consolidated,Both,9/14/19,9/13/24,"874 1, 874 -1RC","BHFL GROUP, LLC",HR Consultant,Bachelors,6,48.36,48.36,48.36
GS-02F-016GA,small business,736TAPS,,12/23/16,12/22/21,736-5,"Continental Design Co., INC.",Educational Technologist,Bachelors,5,48.38,,
